codigo,nombre_cliente,pais,grupo,nombre_grupo,email
430200048,ZENTRAL OPTIKA**KIMERVISION 11034**,ES,173,KIMERVISION,zentral.optika@hotmail.com
430220061,PEREZ BOLEA**FEDEROPTICOS 7261**,ES,011,FEDEROPTICOS,perez.bolea@federopticos.com
430070349,LA MAR ESPAÑOLA OPTICA,ES,999,INDEPENDIENTES,info@opticalamar.com
430360323,SAN PAO DE NAVIA (OPTICA STUDIO),ES,134,STUDIO OPTICAS-PONTE,navia@opticastudio.com
430460996,AMALTEA OPTICA,ES,999,INDEPENDIENTES,amalteavision@gmail.com
430030224,PASSARELLA OPTICA**CIONE 98600**,ES,120,CIONE ESPAÑA,opticapassarella@telefonica.net
430150462,TAMBRE OPTICA**CIONE**CL**,ES,120,CIONE ESPAÑA,opticatambre@hotmail.com
430283785,FARMACIA DR ESTRADA**CIONE,ES,120,CIONE ESPAÑA,farmaciadrestrada@gmail.com
430282968,RIOS CENTRO OPTICO,ES,999,INDEPENDIENTES,centroopticorios@hotmail.com
430290265,ANGEL GARCIA C O **CLARAVISION**,ES,081,CLARAVISION,angelopticofuengirola@hotmail.com
430310231,NAVARRA OP (C/SAN ANDRES-ESTELLA)**NATURAL OPTICS**,ES,019,NOG,estella1@opticanavarra.com
430450067,TORRIJOS CENTRO OPTICO (ONDARRETA),ES,093,ONDARRETA GRUPO OPTI,opticatorrijos@opticasondarreta.com
430461293,VALTERNA OPTICA**CL**,ES,999,INDEPENDIENTES,portuvision@gmail.com
430350376,BLANCO OPTICA (SERVIOPTICAS)**CIONE 0348200**,ES,120,CIONE ESPAÑA,opticablanco@hotmail.es
430070691,ULLERES MARTINA,ES,999,INDEPENDIENTES,jordi.segarra@hotmail.com
430030734,ALBATERA OPTICA**VISTALIA**CL**,ES,166,VISTALIA,VISTALIAALBATERA@GMAIL.COM
430284142,TORREJON**MIOPTICO**,ES,156,MIOPTICO PROP-CARRIE,torrejon@mi-optico.com
430300918,OLA OPTICA**KIMERVISION**,ES,173,KIMERVISION,olaopticaarchena@gmail.com
430300247,REGULADORA COMPRAS MEDITERRANEA,ES,999,INDEPENDIENTES,
430310119,ARMENDARIZ MARTIJA DR,ES,999,INDEPENDIENTES,pazrecalde@gmail.com
430083626,COTTET (VILAFRANCA),ES,037,COTTET,vil_tarr@cottet.net
430150813,SANTIAGO OPTICA**CIONE 0341200**,ES,120,CIONE ESPAÑA,santiagoptica@gmail.com
430083564,TERRASA (SANT PERE)**ALAIN AFFLELOU**,ES,048,AA PROPIAS ESPAÑA,barcelona.terrassa.santpere@afflelou.es
430110479,LA GRANJA OPTICA,ES,999,INDEPENDIENTES,opticalagranja@gruposandionisio.com
430990029,OFICINA DOS OCULOS**CIONE 232600**CL**,ES,121,CIONE PORTUGAL,jlrosado@sapo.pt
430300919,TESSA OPTICA**CIONE 0331300**,ES,120,CIONE ESPAÑA,tessaoptica@gmail.com
430230053,LA CAROLINA OPTICA **KIMERVISION**,ES,173,KIMERVISION,opticalacarolina@gmail.com
430284177,SALAZAR OPTICA**MIOPTICO**,ES,250,MIOPTICO-BRAND,salazaroptica.falla@gmail.com
430110653,VITINI OPTICAS,ES,999,INDEPENDIENTES,lauvitini@gmail.com
430350387,MULTIOPTICAS HQ DELEGACION CANARIAS,ES,018,MULTIOPTICAS,miguel.ortega@multiopticas.com
430310311,ZIZUR OPTICOS**FEDEROPTICOS**,ES,011,FEDEROPTICOS,zizur@federopticos.com
430440058,ANDORRANA TERUEL,ES,133,CASABLANCA-ANDORRANA,teruel@optica-andorrana.com
430284821,SAN LORENZO OPTICA FARMACIA **CIONE 0339400**,ES,120,CIONE ESPAÑA,Farmaciaopticasanlorenzo@gmail.com
430461685,NAVARRO OPTICO**CIONE 0327400**,ES,120,CIONE ESPAÑA,navarrooptica21@gmail.com
430350339,OPTICA MELIAN (SERVIOPTICAS)**CIONE 0335505**,ES,120,CIONE ESPAÑA,opticamelian@gmail.com
430470310,M VIRSEDA OPTICA**CIONE**,ES,120,CIONE ESPAÑA,opticavirseda@gmail.com
430180631,ORBERA OPTICA (ALMUÑECAR),ES,046,OPTICA ORBERA,macarena_mce@hotmail.com
430120168,CHABRERA I CONESA OPT**CIONE 0339500**,ES,120,CIONE ESPAÑA,opticachic@opticachabreraiconesa.com
430200053,IZAR OPTICA**CECOP 208**CL**,ES,004,CECOP,izaroptika@yahoo.es
430300426,SIGLO XXI OT (MRQS DE LOS VELEZ) **CIONE**,ES,120,CIONE ESPAÑA,opticamurcias21@hotmail.com
430461832,SAFRANAR**OPTICALIA 11141**,ES,094,OPTICALIA,safranar@opticalia.es
430070371,FLORIT (CIUDADELA)**MIOPTICO**CL**,ES,167,MIOPTICO GRUPO,MARFLOTO@telefonica.net
430082569,VALLES OPTICA**CL**,ES,999,INDEPENDIENTES,vallesvisio@gmail.com
430360331,CENTROOPTICA (VILLAGARCIA)**KIMERVISION**,ES,173,KIMERVISION,centropticav@gmail.com
430461017,PERELLO OPTICA (VALENCIA)**KIMERVISION**,ES,173,KIMERVISION,glosallo@hotmail.com
430030225,LA CALA OPTICA**CIONE 0092900**,ES,120,CIONE ESPAÑA,opticaslacala@hotmail.com
430450011,HERRERO OPTICA (CONSUEGRA) **FEDEROPTICOS**CL**,ES,011,FEDEROPTICOS,fede_herrero@yahoo.es
430290280,CAMINO MALAGA C O**,ES,999,INDEPENDIENTES,jacarnero@cnoo.es
430450117,LUZ DEL TAJO**OPTICAS PRO**,ES,120,CIONE ESPAÑA,ldt@ojosdetoledo.com
430461314,GREENMEDICAL OPTICA,ES,400,INDEPENDIENTES PREMIUM,compras@greenmedical.es
430220096,ARENAS,ES,999,INDEPENDIENTES,administracion@opticaarenas.es
430130103,VISION INTEGRAL 2000,ES,999,INDEPENDIENTES,futuravision@hotmail.es
430350377,CRISTAL OPTICA**CIONE 0349000**,ES,120,CIONE ESPAÑA,cdmorales@cnoo.es
430390279,IÑIGO OPTICA**OPTICALIA 10620**,ES,094,OPTICALIA,info@opticainigo.com
430280762,INVERSIONES Y ACTIVOS SADLAC,ES,999,INDEPENDIENTES,
430240169,CARBAJAL DE LA LEGUA FARMACIA,ES,999,INDEPENDIENTES,farmaciacarbajaldelalegua@gmail.com
430070700,MYRIAM  PORTELA OPTOMETRIA,ES,999,INDEPENDIENTES,myriamportelaottv@gmail.com
430081454,G H OPTICA**CL**,ES,999,INDEPENDIENTES,contabilidad@prismaoptica.es
430083565,1903- ARIES LOGISTIC GENERAL OPTICA,ES,033,GENERAL OPTICA,dpo@general-optica.es
430284806,POSTAS OPTICA,ES,999,INDEPENDIENTES,mvallejo@opticapostas.es
430291064,CUARTELES**OPTICAPRO**,ES,120,CIONE ESPAÑA,opticaliacuarteles@gmail.com
430200392,FARMACIA OPTICA AZPIROZ**UGO**,ES,026,NOG UGO,azpirozoptica@gmail.com
430291009,EVISION OPTICAS RINCON DE LA VICTORIA,ES,999,INDEPENDIENTES,evision.contabilidad@gmail.com
430350340,OPTICA PIO XII (SERVIOPTICAS)**CIONE 0335506**,ES,120,CIONE ESPAÑA,opticaimarquez@hotmail.com
430083622,MYKITA SHOP BARCELONA,ES,999,INDEPENDIENTES,shopbarcelona@mykita.com
430200068,ZUBI OPTICA**FARMAOPTICS 252**,ES,010,FARMAOPTICS,optikazubi@hotmail.com
430282548,ARGANZUELA CENTRO OPT**CIONE 121401**,ES,120,CIONE ESPAÑA,canchoo4@yahoo.es
430450319,VISUALMAP**CECOP 3880**,ES,004,CECOP,info@visualmap.es
430700013,VISIONLAB (MELILLA) V-174,ES,001,VISIONLAB,vl374dir@visionlab.es
430070378,IRIS OPTICA (PALMA DE MALLORCA),ES,999,INDEPENDIENTES,angaria63@yahoo.es
430082581,DM OPTICS**CL**,ES,999,INDEPENDIENTES,info@dm-optics.com
430360343,SAUDEVISION OPTICA**KIMERVISION**,ES,173,KIMERVISION,info@opticasaudevision.com
430461049,CLIN COSTA OFTALMOLOGICA,ES,999,INDEPENDIENTES,marcosper@aol.es
430030237,GADEA OPTICA (C/DEPORTISTA) **CIONE**,ES,120,CIONE ESPAÑA,optica@opticagadea.es
430150502,OLLOS GABINETE OPTIC**UGO**,ES,026,NOG UGO,info@ollos.net
430283825,OPTIWANDA**CIONE 0319100**,ES,120,CIONE ESPAÑA,optiwanda@gmail.com
430150622,AMERICANA OPTICA (CARBALLO) **MULTIOPTICAS**,ES,018,MULTIOPTICAS,americana3@multiopticas.com
430282970,BILENS OPTICA**CIONE 0025801**,ES,120,CIONE ESPAÑA,anabel.ortiz@gmail.com
430290324,AVENIDA OPTICA (SAN PEDRO ALCANTA),ES,999,INDEPENDIENTES,avenidaoptica3@hotmail.com
430310237,TUDELA,ES,104,OPTICAS ASOCIADAS 10,tudela@optike.es
430461317,CAMPANAR OPTICA**MIOPTICO **,ES,156,MIOPTICO PROP-CARRIE,mioptico.campanar@gmail.com
430230092,GUADALIMAR III**EUROVISION**CL**,ES,008,EUROVISION,villacarrillo@eurovisionopticos.com
430461835,CARMEN LOPEZ OPTICA**OPTICAPRO**,ES,120,CIONE ESPAÑA,opticacarmenlopez@gmail.com
430140159,REYES BARRON JOAQUIN DR,ES,999,INDEPENDIENTES,OPTICALIA.LUCENA@GMAIL.COM
430170159,HOSPITAL DE PALAMOS,ES,199,HOSPITALES,jpujadas@ssibe.cat
430350378,GONZALEZ MARTIN OPTICA**CIONE 0349300**,ES,120,CIONE ESPAÑA,opticglezmartin@outlook.com
430360538,AMERICANA (MICHELENA)**MULTIOPTICAS**,ES,018,MULTIOPTICAS,carlos.pineiro@multiopticas.com
430390280,IÑIGO OPTICA (LOS CIRUELOS)**OPTICALIA 10620**,ES,094,OPTICALIA,info@opticainigo.com
430040077,HOSPITAL TORRECARDENAS,ES,199,HOSPITALES,
430031377,OPTICA OPTIMA (ELCHE),ES,117,OPTIMA GRUPO OPTICO,optica_y@optica-optima.com
430300249,SOBRADO OPTICA,ES,999,INDEPENDIENTES,unilent@hotmail.com
430300559,HOSPITAL MESA DEL CASTILLO,ES,199,HOSPITALES,
430461728,GUAITA OPTICOS ALACUAS **CIONE**,ES,120,CIONE ESPAÑA,guaitaopticosalacuas@gmail.com
430470316,GAFASVAN**UGO**,ES,026,NOG UGO,daniel@gafasvan.com
430082421,INSTITUTO OFTALMOLOGICO DE BARCELONA,ES,999,INDEPENDIENTES,optoioi@admiravision.es
430360490,ARGOS (VIGO) OPTICA**CL**,ES,999,INDEPENDIENTES,optica@argosoptica.com
430083855,MARINA GRIFOL OPTICA**OPTICALIA**,ES,107,OPTICALIA BRAND,Opticamarinagrifol@gmail.com
430170355,CLARA OPTICA,ES,999,INDEPENDIENTES,opticaclara@opticaclara.com
430480346,GALARZA RODRIGUEZ FARMACIA OPTICA,ES,999,INDEPENDIENTES,farmaciagalarza@yahoo.es
430284107,MI OPTICO SOTO **MIOPTICO**,ES,167,MIOPTICO GRUPO,sotooptico1@hotmail.com
430410612,CORONIL OPTICA EL**FARMAOPTICS 453**,ES,010,FARMAOPTICS,varresan@gmail.com
430083598,OPTOVISIO,ES,999,INDEPENDIENTES,info@optovisio.com
430380468,MEDANO OPTICA**CIONE 0140801**,ES,120,CIONE ESPAÑA,info@opticamedano.com
430285015,BOOM EUGENIA OPTICAS**CIONE 0186501**,ES,120,CIONE ESPAÑA,kross2004@hotmail.com
430461106,CAROLINAS OPTICA**CECOP**,ES,004,CECOP,opticacarolinas@gmail.com
430284822,ADALVE OPTICAS**CLARAVISION**,ES,081,CLARAVISION,adalvecb@yahoo.es
430120185,IBARRA CC SALERA**MULTIOPTICAS**,ES,018,MULTIOPTICAS,mosalera@gmail.com
430110698,ESPEJO OPTICA MINERA**UGO**,ES,026,NOG UGO,medferana@hotmail.com
430284883,VISIONLAB (CENTRAL CUENTA CONTABLE),ES,001,VISIONLAB,gmunoz@visionlab.es
430070385,INCA ALAIN AFFLELOU**FRANQ***,ES,049,AA FRANQUICIA ESPAÑA,montes.manuela@afflelou.es
430082595,PRISMA OPTICA (SANT JUST**KIMERVISION**,ES,173,KIMERVISION,nuria_st_just@hotmail.com
430360357,OCA FARMACIA OPTICA,ES,999,INDEPENDIENTES,modonado@cofpo.org
430461100,FORMENT OPTICOS**KIMERVISION**,ES,173,KIMERVISION,formentopticos@gmail.com
430411068,CENTRO OPTICO LEBRIJA,ES,256,ASVISION,centroopticolebrija@hotmail.com
430030245,BELL VISION OPTICA**MULTIOPTICAS**,ES,018,MULTIOPTICAS,optica_visionbell@hotmail.com
430150535,CARMELA OPTICA**CIONE 0172300F**,ES,120,CIONE ESPAÑA,odieymenchi@yahoo.es
430283846,OLIVER OPTICA C/GINZO DE LIMIA**MULTIOPTICAS**,ES,018,MULTIOPTICAS,multiopticasolivergl@gmail.com
430461604,ALDAIA (INST VALENC SORD) **OPTICALIA 10933**,ES,094,OPTICALIA,aldaia@amplifon.com
430170341,CHAVARRIA OPTICA**CECOP 3538**,ES,004,CECOP,chavarriaoptics@gmail.com
430082229,GFS OPTICA,ES,400,INDEPENDIENTES PREMIUM,gfs01@opticasgfs.cat
430150629,ORDES**MULTIOPTICAS**,ES,018,MULTIOPTICAS,veronica.dono@hotmail.com
430310239,OPTICA &VISION**VISTALIA**CL**,ES,166,VISTALIA,opticayvision@vistalia.es
430450151,PRINCIPAL CENTRO OPTICO (ONDARRETA),ES,093,ONDARRETA GRUPO OPTI,OPTICAPRINCIPAL@OPTICASONDARRETA.COM
430461322,MOLINS OPTICA (BENET) **CIONE 0177400**CL,ES,120,CIONE ESPAÑA,molins.optics@gmail.com
430230095,GUDALIMAR I**EUROVISION**CL**,ES,008,EUROVISION,pds@eurovisionopticos.com
430301010,CENTRALIS VISION**CIONE 0351000**,ES,120,CIONE ESPAÑA,cartagena@centralisvision.com
430140161,RUTE OPTICO,ES,999,INDEPENDIENTES,verbiengrupo@hotmail.com
430140472,SINTOP CENTRO OPTICO (LAS SETAS)**KIMERVISION**,ES,173,KIMERVISION,opticasintoplassetas@gmail.com
430390281,FOS OPTICA**OPTICALIA 10620**,ES,094,OPTICALIA,info@opticainigo.com
430290509,CENTRO MEDICO ALAMEDA,ES,999,INDEPENDIENTES,OPTICAGALAXIA@HOTMAIL.COM
430250107,LOPEZ CALVO MONSERRAT DRA,ES,999,INDEPENDIENTES,ventosa.joseamado@gmail.com
430284983,PASEO DE PALACIOS**ALAIN AFFLELOU**,ES,049,AA FRANQUICIA ESPAÑA,diazdelacebosa.angel@afflelou.es
430310125,HOSPITAL DE TUDELA,ES,199,HOSPITALES,
430411188,CUNA 19 OPTICA,ES,999,INDEPENDIENTES,cuna19optica@gmail.com
430110168,GOMEZ GARCIA LUIS FELIPE DR,ES,999,INDEPENDIENTES,ifgomezgarcia@hotmail.com
430291051,PUNTO DE VISTA (MALAGA)**OPTICAPRO**,ES,120,CIONE ESPAÑA,finanoptic@hotmail.com
430430343,SIO OPTICS**CECOP**CL**,ES,004,CECOP,siooptics@yahoo.com
430430073,PRIM OPTICA (REUS),ES,999,INDEPENDIENTES,opticaprim@cione.es
430082446,RAMBLA**UNI**10C**,ES,013,GEA,geraldine.soler@opticadelpenedes.es
430300925,SAN ROQUE OPTICA**KIMERVISION**CL**,ES,173,KIMERVISION,info@centropticosanroque.com
430083884,OPTICA GENERAL,ES,999,INDEPENDIENTES,optica_general50@hotmail.com
430285016,BOOM OPTICAS**CIONE 0186501**,ES,120,CIONE ESPAÑA,kross2004@hotmail.com
430411013,DOS HERMANAS**SOLOPTICAL**,ES,052,SOLOPTICAL,e.sevillafactory@soloptical.com
430380456,TOME CANO OPTICA**CIONE 0322101**,ES,120,CIONE ESPAÑA,opticatomecano@gmail.com
430130241,NAVARRETE (DAIMIEL),ES,104,OPTICAS ASOCIADAS 10,daimiel@opticasnavarrete.es
430350342,OPTICA RIVERO (SERVIOPTICAS)**CIONE 0335508**,ES,120,CIONE ESPAÑA,riveroptico@telefonica.net
430500570,LOS ENLACES **ALAIN AFFLELLOU** **FRANQ**,ES,049,AA FRANQUICIA ESPAÑA,grima.raul@afflelou.es
430200140,BRONTE ORTOPEDIA OPTICA**OPTICAS PRO**,ES,120,CIONE ESPAÑA,consuelogomez@redfarma.org
430140049,JOYERIA DEL VAL OPTICA**CECOP**,ES,004,CECOP,opticadelvaljoyeros@gmail.com
430285005,ALCALA**ALAIN AFFLELOU FRANQ**,ES,049,AA FRANQUICIA ESPAÑA,jimenezalvarez.mariangeles@afflelou.es
430020251,VISIONLAB (ALBACETE) V-30,ES,001,VISIONLAB,vl230dir@visionlab.es
430070402,REINA OPTICA (C/MARE DE DEU),ES,999,INDEPENDIENTES,opticareinarafal@hotmail.com
430082597,OFTALMICA OPTICA,ES,999,INDEPENDIENTES,info@optisafa.es
430360358,RORIS (CTRA DE LA VIA 116)**CLARAVISION**,ES,081,CLARAVISION,opticasroris@gmail.com
430030252,SAN LORENZO OPT**UGO**,ES,026,NOG UGO,cosloren1@gmail.com
430150572,PEREZ VILA OPTICA**CIONE 32101**,ES,120,CIONE ESPAÑA,info@opticaperezvila.es
430283847,OLIVER MULTIOPTICAS (C/BARBASTRO),ES,018,MULTIOPTICAS,multiopticasoliverb3@gmail.com
430461606,QUART (INST VALENC SORD)**OPTICALIA 10933**,ES,094,OPTICALIA,quartpoblet@amplifon.com
430411144,SAN ELOY OPTICA**CECOP**,ES,004,CECOP,opticasaneloy@gmail.com
430082257,ALARCON OPTICS**UGO**,ES,026,NOG UGO,alarconoptics@gmail.com
430150631,AS CANCELAS**ALAIN AFFLELOU FRANQ **,ES,049,AA FRANQUICIA ESPAÑA,lacorunya.santiago.ascancelas@afflelou.es
430281012,AUDIOPTICA (DR ESQUERDO)**UGO INDEPT**,ES,127,NOG Y UGO FACT DIRET,raulpascual@audioptica.es
430282994,VISUAL OPTICOS**CIONE 0158700**,ES,120,CIONE ESPAÑA,josue.beltran.rivero@gmail.com
430450152,LA SAGRA OPTICA**CIONE 1304,ES,120,CIONE ESPAÑA,gonzalezgomezlidia@yahoo.es
430230136,LA TORRE OPTICA**KIMERVISION**,ES,173,KIMERVISION,gonin77@hotmail.com
430160103,HERRERA MARTINEZ OPTICOS,ES,999,INDEPENDIENTES,teresaopticos@gmail.com
430140162,ROLDAN OPTICA,ES,999,INDEPENDIENTES,miguelroldan@terra.es
430350380,OPTICA SANTA LUCIA**CIONE 0348000**,ES,120,CIONE ESPAÑA,opticastalucia@movistar.es
430461690,FERRANLUZ OPTICOS**ZAS VISION**,ES,029,ZAS VISION-COPTIVAL,ferranluzopticos@zasvision.com
430083663,HOSPITALARIA TIBAU PALAU**UGO**,ES,026,NOG UGO,opticahospitalariapalau@gmail.com
430070726,OAM,ES,999,INDEPENDIENTES,oamercadal@gmail.com
430130315,AUDIO AVENIDA OPTICA**CIONE 0341900**,ES,120,CIONE ESPAÑA,optica.audio.avenida@gmail.com
